"source_id","runtime_id","name","runtime_stage","runtime_stage_key","linked_state_index","linked_state_key","source_character_id","source_relationship","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"2","radish","白萝卜","0","seed","0","seed","2","state-character","Crop_2.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","apps/web/public/assets/manor/classic/crops/2/seed.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","reviewed-ok","ready"
"2","radish","白萝卜","1","sprout","1","sprout","4","state-character","Crop_2.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","apps/web/public/assets/manor/classic/crops/2/sprout.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","reviewed-ok","ready"
"2","radish","白萝卜","2","growing","3","growing","8","state-character","Crop_2.swf/DefineSprite_8/1.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","apps/web/public/assets/manor/classic/crops/2/growing.png","189fa60aec1a9609d3b1bcaa34d985331fd82f26fadb4c9b75c8e948d520f9d5","reviewed-ok","ready"
"2","radish","白萝卜","3","mature","5","mature","17","state-character","Crop_2.swf/DefineSprite_17/1.png","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","apps/web/public/assets/manor/classic/crops/2/mature.png","1f32d2a374651f75531a6b3ec03fa19a04fe5e78e642c9fccad9c1903bc07c05","reviewed-ok","ready"
"2","radish","白萝卜","4","withered","6","withered","19","state-character","Crop_2.swf/DefineSprite_19/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","apps/web/public/assets/manor/classic/crops/2/withered.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","reviewed-ok","ready"
"3","carrot","胡萝卜","0","seed","0","seed","2","state-character","Crop_3.swf/DefineSprite_2/1.png","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","apps/web/public/assets/manor/classic/crops/3/seed.png","0e04974b4e580ea85ea6caf89b457bf3a20e1fa43abdf31e1f8f95a65fdcbe1e","reviewed-ok","ready"
"3","carrot","胡萝卜","1","sprout","1","sprout","4","state-character","Crop_3.swf/DefineSprite_4/1.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","apps/web/public/assets/manor/classic/crops/3/sprout.png","f8bacbc69c95a34f8d3d932c047a1acba431987b0c03d8ca0e50dc7231ee1689","reviewed-ok","ready"
"3","carrot","胡萝卜","2","growing","3","growing","8","state-character","Crop_3.swf/DefineSprite_8/1.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","apps/web/public/assets/manor/classic/crops/3/growing.png","e58d57eb0af9230ccdbbf0588b0c01e10ecc71785d223f19180acedc291a84f9","reviewed-ok","ready"
"3","carrot","胡萝卜","3","mature","5","mature","20","state-character","Crop_3.swf/DefineSprite_20/1.png","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","apps/web/public/assets/manor/classic/crops/3/mature.png","dfcf41ae1a5af28b2936203a9ac8c7d1f7ed02fdb32f80efe743a81b74608ed3","reviewed-ok","ready"
"3","carrot","胡萝卜","4","withered","6","withered","22","state-character","Crop_3.swf/DefineSprite_22/1.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","apps/web/public/assets/manor/classic/crops/3/withered.png","d6a6f31b306ea0342f210da30b05bb6dc4cdfd731ac7353489f434a30c6b1bba","reviewed-ok","ready"
